epoch,qre,max_grad
1,2.285128585289087,0.15692666028882613
2,2.131526079947113,0.15557836211278536
3,1.9805939048609886,0.1540195799190831
4,1.8327112677145898,0.15222355726711084
5,1.6882944955039587,0.15016216926913323
6,1.5477948924305043,0.14780658925950613
7,1.4116943096331607,0.14512823045166962
8,1.2804979236267044,0.14209999284875502
9,1.1547238011891636,0.1386978225408062
10,1.0348890095677863,0.13490255428978631
11,0.9214923317869097,0.13070195878242002
12,0.8149940695719113,0.12609285645064283
13,0.7157939334891896,0.12108309862974498
14,0.6242085646763194,0.11569316760625226
15,0.5404506990999813,0.10995712633780441
16,0.46461224330319517,0.10392267208335193
17,0.39665345802762175,0.09765012612537427
18,0.33639997222463514,0.09121031921887701
19,0.2835484976136584,0.08468149129851082
20,0.23768101393280183,0.07814548093754847
21,0.1982860654527956,0.07168380750079978
22,0.1647848948252424,0.06545971454481236
23,0.13655963610680555,0.05948293576496716
24,0.11298077824504027,0.05377068560912007
25,0.09343154856552971,0.04836786978725194
26,0.07732760226106539,0.043307279217628836
27,0.06413124623396893,0.038609818000068186
28,0.05336019640450029,0.03428540952311815
29,0.044591450114816134,0.030334372080314198
30,0.03746120259608876,0.026749053861809313
31,0.03166186471354138,0.023515546378735597
32,0.026937198434427323,0.020615336301841647
33,0.023076440713097668,0.01802680096526077
34,0.019908093416964867,0.016363690411215506
35,0.017293859782591348,0.01561165941548255
36,0.015123033220289628,0.01489402339232293
37,0.013307504460807529,0.01421002865509681
38,0.011777450337374873,0.013558688209786885
39,0.010477698199522933,0.01293885074241215
40,0.009364717803578948,0.01234925703507599
41,0.008404170510928566,0.011788585140509764
42,0.0075689375793484,0.011255485803025336
43,0.006837550190519792,0.010748609630453845
44,0.0061929498461070764,0.010266627426309832
45,0.0056215162537744945,0.009808244954599653
46,0.0051123090931533,0.009372213247868213
47,0.004656479064858665,0.008957335382885526
48,0.004246811819394125,0.00856247053120918
49,0.0038773754930572224,0.008186535960798588
50,0.0035432485902795463,0.0078285073810772
51,0.00324030991427815,0.007487418236779675
52,0.0029650762520043727,0.007162358135972272
53,0.002714576730848073,0.0068524707337851085
54,0.002486255291000994,0.006556951246072543
55,0.002277894698928584,0.00627504376265434
56,0.002087557064215595,0.00600603846004949
57,0.0019135370107887795,0.005749268799015161
58,0.0017543245661935103,0.005504108768041426
59,0.0016085755315105033,0.005269970234685482
60,0.0014750876274272073,0.005046300369803622
61,0.0013527811195848116,0.004832579248904671
62,0.0012406829328739377,0.004628317573715245
63,0.001137913500105725,0.004433054546473008
64,0.0010436757673968344,0.004246355886828066
65,0.0009572459136846234,0.004067811991794956
66,0.0008779654435278061,0.003897036233202405
67,0.0008052343900102343,0.0037336633802534658
68,0.0007385054235147237,0.0035773481566441986
69,0.0006772787065134622,0.0034277638866977746
70,0.0006210973695459643,0.003284601270926609
71,0.00056954350852223,0.0031475672466230974
72,0.0005222346244631026,0.003016383941268092
73,0.00047882044177338656,0.002890787706759129
74,0.00043898005328735223,0.002770528231191269
75,0.0004024193495695272,0.0026553677167202305
76,0.0003688686972571631,0.002545080122225752
77,0.0003380808370128108,0.002439450465444845
78,0.00030982897623133,0.002338274171266152
79,0.0002839050553387068,0.0022413564744331836
80,0.0002601181694119603,0.0021485118623991856
81,0.00023829312942602598,0.002059563559147149
82,0.0002182691492862432,0.001974343044353146
83,0.00019989864659297751,0.0018926896067470028
84,0.0001830461464136235,0.0018144499272850709
85,0.0001675872785531496,0.0017394776902145588
86,0.0001534078598544042,0.0016676332195447383
87,0.00014040305389872998,0.0015987831389960919
88,0.00012847660128834093,0.0015328000530319859
89,0.00011754011431008848,0.0014695622480959993
90,0.0001075124304152908,0.0014090717524726688
91,9.831901947787713e-5,0.0013511358870943388
92,8.989144018212158e-5,0.001295600417845176
93,8.21668414205945e-5,0.0012423642300264728
94,7.508750487073002e-5,0.0011913306268540383
95,6.860042529233112e-5,0.0011424071207488118
96,6.265692537965606e-5,0.0010955052356475987
97,5.721230227617724e-5,0.0010505403205216708
98,5.222550312034002e-5,0.001007431372519952
99,4.765882722335135e-5,0.0009661008698836487
100,4.347765262124881e-5,0.0009264746131239197
101,3.965018505436291e-5,0.0008884815741996704
102,3.6147227453042774e-5,0.0008520537540669462
103,3.294196827940965e-5,0.0008171260467637748
104,3.000978716993785e-5,0.0007836361104820132
105,2.732807641958601e-5,0.0007515242449110567
106,2.487607707202244e-5,0.0007207332745832809
107,2.2634728338744026e-5,0.000691208437796402
108,2.058652930880811e-5,0.0006628972809156197
109,1.871541193931847e-5,0.0006357495574801537
110,1.7006624358550937e-5,0.0006097171323511015
111,1.5446623703674334e-5,0.0005847538900775155
112,1.4022977665284486e-5,0.0005608156476914657
113,1.2724274036202132e-5,0.0005378600712960362
114,1.1540037624158117e-5,0.0005158465966910511
115,1.046065394127993e-5,0.0004947363533375701
116,9.477299047766508e-6,0.00047449209245710444
117,8.581875161617347e-6,0.00045507811704161016
118,7.766951449994508e-6,0.00043646021631976034
119,7.025709660268831e-6,0.00041860560245291986
120,6.3518941599838286e-6,0.00040148285023523106
121,5.739766046453099e-6,0.000385061839363144
122,5.184060966278992e-6,0.0003693136993159034
123,4.679950374786301e-6,0.000354210756623001
124,4.223005944048452e-6,0.00033972648443688497
125,3.809166859269908e-6,0.0003258354543004792
126,3.4347097717102315e-6,0.00031251329000841
127,3.0962211932106243e-6,0.00029973662346206853
128,2.7905721369236858e-6,0.00028748305243143923
129,2.514894814176216e-6,0.00027573110013235855
130,2.2665612373629074e-6,0.0002644601765392947
131,2.0431635441298113e-6,0.0002536505413549932
