beta,alpha,tvd
0.5,2.3283064365386963e-10,1.5229742380412636e-10
0.5,2.495417051334619e-10,1.5252839529605877e-10
0.5,2.6745217735810076e-10,1.5148263286107744e-10
0.5,2.8664814618996274e-10,1.5140101932570316e-10
0.5,3.072218761716254e-10,1.5134702605751338e-10
0.5,3.2927225399135965e-10,1.505616074523597e-10
0.5,3.529052637774496e-10,2.405158841187194e-10
0.5,3.782344965060405e-10,2.4056019676255147e-10
0.5,4.053816959709509e-10,2.423264635828537e-10
0.5,4.344773439396203e-10,2.4226813957750615e-10
0.5,4.656612873077393e-10,3.161494885328686e-10
0.5,4.990834102669238e-10,3.157016193605644e-10
0.5,5.349043547162015e-10,3.2013620140242116e-10
0.5,5.732962923799255e-10,3.19659316377896e-10
0.5,6.144437523432508e-10,3.1812341996784177e-10
0.5,6.585445079827193e-10,3.1812341996784177e-10
0.5,7.058105275548992e-10,7.844208945589903e-10
0.5,7.56468993012081e-10,7.848821254388683e-10
0.5,8.107633919419018e-10,7.840274436621275e-10
0.5,8.689546878792406e-10,7.821460848780881e-10
0.5,9.313225746154785e-10,8.022315485523013e-10
0.5,9.981668205338477e-10,1.0058988806835312e-9
0.5,1.069808709432403e-9,1.006262008614034e-9
0.5,1.146592584759851e-9,1.0053308758389834e-9
0.5,1.2288875046865017e-9,1.001233367048382e-9
0.5,1.3170890159654386e-9,1.0117040608048633e-9
0.5,1.4116210551097985e-9,1.2132178837942487e-9
0.5,1.512937986024162e-9,1.2112069186151486e-9
0.5,1.6215267838838037e-9,1.7955441118308602e-9
0.5,1.7379093757584813e-9,1.79525657794527e-9
0.5,1.862645149230957e-9,2.2592211088023895e-9
0.5,1.9963336410676953e-9,2.7025183948342635e-9
0.5,2.139617418864806e-9,2.698612627631547e-9
0.5,2.293185169519702e-9,2.699157964844434e-9
0.5,2.4577750093730034e-9,2.7155159666031325e-9
0.5,2.634178031930877e-9,2.713451172087211e-9
0.5,2.823242110219597e-9,2.7082035138764615e-9
0.5,3.025875972048324e-9,3.1866573277708476e-9
0.5,3.2430535677676073e-9,4.19695438125256e-9
0.5,3.4758187515169625e-9,4.1887998321679665e-9
0.5,3.725290298461914e-9,4.850008179790866e-9
0.5,3.992667282135391e-9,5.8402182378375356e-9
0.5,4.279234837729612e-9,5.8594706213790926e-9
0.5,4.586370339039404e-9,5.861076399389653e-9
0.5,4.915550018746007e-9,5.854405465618995e-9
0.5,5.268356063861754e-9,6.621079825033793e-9
0.5,5.646484220439194e-9,6.861805317524838e-9
0.5,6.051751944096648e-9,9.355353969807412e-9
0.5,6.486107135535215e-9,9.351059224692315e-9
0.5,6.951637503033925e-9,9.386764233086653e-9
0.5,7.450580596923828e-9,1.1044223040442003e-8
0.5,7.985334564270781e-9,1.2168921488531215e-8
0.5,8.558469675459224e-9,1.217473304809813e-8
0.5,9.172740678078808e-9,4.116126565111011e-8
0.5,9.831100037492013e-9,4.1145808259666905e-8
0.5,1.0536712127723509e-8,4.3483861957363534e-8
0.5,1.1292968440878388e-8,4.346680643196876e-8
0.5,1.2103503888193296e-8,4.7601017902527964e-8
0.5,1.297221427107043e-8,4.7582729717325634e-8
0.5,1.390327500606785e-8,5.01513207698534e-8
0.5,1.4901161193847656e-8,5.023049035827315e-8
0.5,1.5970669128541563e-8,5.353300528039562e-8
0.5,1.711693935091845e-8,5.569058336447191e-8
0.5,1.8345481356157615e-8,1.7131587626111056e-7
0.5,1.9662200074984027e-8,1.718197792689724e-7
0.5,2.1073424255447017e-8,1.718224419524142e-7
0.5,2.2585936881756776e-8,1.7436311843584823e-7
0.5,2.4207007776386593e-8,1.7828799728572542e-7
0.5,2.594442854214086e-8,1.8589082060194856e-7
0.5,2.78065500121357e-8,1.8588417697185805e-7
0.5,2.9802322387695312e-8,1.859369106104944e-7
0.5,3.1941338257083125e-8,1.8906479884363975e-7
0.5,3.42338787018369e-8,1.9852005851087734e-7
0.5,3.669096271231523e-8,3.0654505650540287e-7
0.5,3.9324400149968054e-8,3.1087083647140384e-7
0.5,4.2146848510894035e-8,3.155158048917181e-7
0.5,4.517187376351355e-8,3.253026771348963e-7
0.5,4.8414015552773186e-8,3.2550171104664405e-7
0.5,5.188885708428172e-8,3.391026223613716e-7
0.5,5.56131000242714e-8,4.0061796635279534e-7
0.5,5.960464477539063e-8,4.130692419215473e-7
0.5,6.388267651416625e-8,4.192649721542277e-7
0.5,6.84677574036738e-8,4.361936034149097e-7
0.5,7.338192542463046e-8,7.703478613046294e-7
0.5,7.864880029993611e-8,7.85422933634837e-7
0.5,8.429369702178807e-8,9.953893213635046e-7
0.5,9.03437475270271e-8,9.98417758506058e-7
0.5,9.682803110554637e-8,1.0203293245572218e-6
0.5,1.0377771416856343e-7,1.028693881572132e-6
0.5,1.112262000485428e-7,1.1624363160499945e-6
0.5,1.1920928955078125e-7,1.1717332594092522e-6
0.5,1.277653530283325e-7,1.1876881349948826e-6
0.5,1.369355148073476e-7,1.2206315669911066e-6
0.5,1.4676385084926092e-7,1.2320946319206716e-6
0.5,1.5729760059987222e-7,1.5282080808205756e-6
0.5,1.6858739404357614e-7,2.329404765932276e-6
0.5,1.806874950540542e-7,2.3529321215029833e-6
0.5,1.9365606221109274e-7,2.5682686410899436e-6
0.5,2.0755542833712687e-7,2.5679310404437203e-6
0.5,2.224524000970856e-7,2.611241969326973e-6
0.5,2.384185791015625e-7,3.028454002069851e-6
0.5,2.55530706056665e-7,3.051318542419447e-6
0.5,2.738710296146952e-7,3.1264297493550225e-6
0.5,2.9352770169852185e-7,3.995123940277005e-6
0.5,3.1459520119974443e-7,4.854763724857977e-6
0.5,3.371747880871523e-7,5.340902389494237e-6
0.5,3.613749901081084e-7,5.37346934813103e-6
0.5,3.873121244221855e-7,5.450789908367608e-6
0.5,4.1511085667425373e-7,5.850074185310625e-6
0.5,4.449048001941712e-7,5.916321224791465e-6
0.5,4.76837158203125e-7,8.812459329057831e-6
0.5,5.1106141211333e-7,8.900315149321623e-6
0.5,5.477420592293904e-7,9.3838311273969e-6
0.5,5.870554033970437e-7,9.44093737610327e-6
0.5,6.291904023994889e-7,1.0264074821089708e-5
0.5,6.743495761743046e-7,1.419583162769883e-5
0.5,7.227499802162168e-7,1.4240393226332138e-5
0.5,7.74624248844371e-7,1.5145587723452633e-5
0.5,8.302217133485075e-7,1.5329439596214155e-5
0.5,8.898096003883424e-7,1.603726105486522e-5
0.5,9.5367431640625e-7,2.1585677935260193e-5
0.5,1.02212282422666e-6,2.1763338866113285e-5
0.5,1.0954841184587807e-6,2.2606487533586954e-5
0.5,1.1741108067940874e-6,2.6803460674677815e-5
