epoch,qre,max_grad
1,0.9656963729494938,0.17254543053330273
2,0.8598412304734957,0.14064636990136703
3,0.788656902385898,0.11355780834957407
4,0.7419637695191241,0.09103190405989582
5,0.7119036114951429,0.0726098545927601
6,0.6928107643461763,0.057724016306930956
7,0.6807959345421208,0.04580015732345356
8,0.6732805378517108,0.03630580637385757
9,0.6685960809911116,0.02877578973992257
10,0.6656808888116617,0.0228181315694114
11,0.6638669995826936,0.01810918568453556
12,0.6627372476551052,0.014388590923216635
13,0.6620322758585218,0.01144825899622566
14,0.6615912306185265,0.00912303837690509
