epoch,qre,max_grad
1,0.03856940467002978,0.0740055648325374
2,0.026292812705606572,0.06080270748095906
3,0.017984977638281663,0.05006277410585408
4,0.012336582471100144,0.041294824859879065
5,0.008481280682836712,0.03411462444307367
6,0.005841313007981519,0.028219145002774504
7,0.004028743713652361,0.023387758881657728
8,0.002781566514030054,0.019422803955344237
9,0.0019219427024985691,0.016143570797314377
10,0.0013286530955900488,0.013427461343267166
11,0.0009187781223660707,0.011174963829954032
12,0.0006354282873139994,0.009304982125115047
